2018 Rank,City,State,State Code,2018 Population estimate,2019 median sales price
1,New York,New York,NY,37978093,418000
2,Los Angeles,California,CA,18086430,650000
3,Chicago,Illinois,IL,10823976,229000
4,San Diego,California,CA,6195316,568000
5,Houston,Texas,TX,4651004,197000
6,Indianapolis,Indiana,IN,4345362,145000
7,Columbus,Ohio,OH,3561700,192000
8,Phoenix,Arizona,AZ,3320544,265000
9,Philadelphia,Pennsylvania,PA,3168276,220000
10,San Antonio,Texas,TX,3064466,185000
11,Boston,Massachusetts,MA,2778332,421000
12,Detroit,Michigan,MI,2690648,164000
13,Dallas,Texas,TX,2690094,225000
14,San Francisco,California,CA,2649915,875000
15,Milwaukee,Wisconsin,WI,2368100,193000
16,El Paso,Texas,TX,2206096,130000
17,San Jose,California,CA,2060238,1086000
18,Austin,Texas,TX,1928508,299000
19,St. Louis,Missouri,MO,1905459,163000
20,Jacksonville,Florida,FL,1807778,208000
21,Baltimore,Maryland,MD,1807485,254000
22,Charlotte,North Carolina,NC,1744996,227000
23,Cleveland,Ohio,OH,1535172,135000
24,Seattle,Washington,WA,1489910,460000
25,Denver,Colorado,CO,1432984,400000
26,Washington,District of Columbia,DC,1404910,397000
27,New Haven,Connecticut,CT,1379292,201000
28,Virginia Beach,Virginia,VA,1350567,229000
29,Portland,Oregon,OR,1306230,385000
30,Memphis,Tennessee,TN,1301236,147000
31,Oklahoma City,Oklahoma,OK,1298042,158000
32,Las Vegas,Nevada,NV,1289288,275000
33,St. Paul,Minnesota,MN,1252360,265000
34,Cincinnati,Ohio,OH,1210420,165000
35,Pittsburgh,Pennsylvania,PA,1204192,152000
36,Albuquerque,New Mexico,NM,1120436,180000
37,Toledo,Ohio,OH,1099900,122000
38,Tucson,Arizona,AZ,1091950,206000
39,Fresno,California,CA,1060186,260000
40,Madison,Wisconsin,WI,1039096,260000
41,Buffalo,New York,NY,1025216,150000
42,Sacramento,California,CA,1017058,399000
43,Atlanta,Georgia,GA,996088,225000
44,Kansas City,Missouri,MO,983836,159000
45,Colorado Springs,Colorado,CO,945376,304000
46,Miami,Florida,FL,941828,269000
47,Raleigh,North Carolina,NC,938596,262000
48,Omaha,Nebraska,NE,936524,186000
49,Minneapolis,Minnesota,MN,850806,265000
50,Rochester,New York,NY,832328,140000
51,Grand Rapids,Michigan,MI,819470,193000
52,Tulsa,Oklahoma,OK,801338,154000
53,Akron,Ohio,OH,792024,138000
54,Tampa,Florida,FL,785780,201000
55,New Orleans,Louisiana,LA,782012,199000
56,Bakersfield,California,CA,767158,225000
57,Worcester,Massachusetts,MA,743508,247000
58,Providence,Rhode Island,RI,717340,268000
59,Richmond,Virginia,VA,686349,233000
60,Stockton,California,CA,622356,355000
61,Springfield,Massachusetts,MA,620128,200000
62,Greensboro,North Carolina,NC,589444,145000
63,Bridgeport,Connecticut,CT,579600,374000
64,Orlando,Florida,FL,571426,235000
65,Dayton,Ohio,OH,562560,128000
66,Durham,North Carolina,NC,548582,242000
67,Winston-Salem,North Carolina,NC,492656,150000
68,Hartford,Connecticut,CT,490348,214000
69,Allentown,Pennsylvania,PA,485732,181000
70,Des Moines,Iowa,IA,472844,186000
71,Boise City,Idaho,ID,457580,290000
72,Baton Rouge,Louisiana,LA,443198,178000
73,Spokane,Washington,WA,438380,248000
74,Modesto,California,CA,430060,315000
75,Birmingham,Alabama,AL,419760,165000
76,Oxnard,California,CA,419754,598000
77,Little Rock,Arkansas,AR,395762,145000
78,Albany,New York,NY,389116,198000
79,Cape Coral,Florida,FL,378686,220000
80,Knoxville,Tennessee,TN,375000,175000
81,Chattanooga,Tennessee,TN,361114,169000
82,Jackson,Mississippi,MS,328844,130000
83,McAllen,Texas,TX,286866,124000
84,Charleston,South Carolina,SC,272416,251000
85,Columbia,South Carolina,SC,266902,150000
86,Provo,Utah,UT,233404,340000
87,Palm Bay,Florida,FL,228388,199000
88,Lakeland,Florida,FL,221032,173000
89,Harrisburg,Pennsylvania,PA,196916,169000
90,Deltona,Florida,FL,183902,200000
91,Ogden,Utah,UT,174650,278000
92,Fayetteville,Arkansas,AR,173502,188000
93,North Port,Florida,FL,137256,245000
94,Greenville,South Carolina,SC,137126,183000
95,Sarasota,Florida,FL,115476,245000
